"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"IIA_TP1_Modelo_Base.nlogo"
"Percentagem Lixo"
"10/21/2024 00:02:04:291 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36","37","37","37","37","38","38","38","38","39","39","39","39","40","40","40","40","41","41","41","41","42","42","42","42","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","46","47","47","47","47","48","48","48","48","49","49","49","49","50","50","50","50","51","51","51","51","52","52","52","52","53","53","53","53","54","54","54","54","55","55","55","55","56","56","56","56","57","57","57","57","58","58","58","58","59","59","59","59","60","60","60","60"
"n_agentes","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"Lixo","20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"40",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,,"60",,,
"[total steps]","5702","5702","5702","5702","5706","5706","5706","5706","7597","7597","7597","7597","5486","5486","5486","5486","3022","3022","3022","3022","2880","2880","2880","2880","6143","6143","6143","6143","10000","10000","10000","10000","1473","1473","1473","1473","2779","2779","2779","2779","10000","10000","10000","10000","5064","5064","5064","5064","2974","2974","2974","2974","2395","2395","2395","2395","1547","1547","1547","1547","5045","5045","5045","5045","2998","2998","2998","2998","249","249","249","249","3611","3611","3611","3611","10000","10000","10000","10000","6646","6646","6646","6646","1429","1429","1429","1429","2916","2916","2916","2916","4486","4486","4486","4486","6958","6958","6958","6958","3817","3817","3817","3817","10000","10000","10000","10000","10000","10000","10000","10000","7556","7556","7556","7556","4649","4649","4649","4649","5493","5493","5493","5493","7900","7900","7900","7900","7542","7542","7542","7542","5227","5227","5227","5227","10000","10000","10000","10000","4005","4005","4005","4005","4036","4036","4036","4036","1709","1709","1709","1709","4597","4597","4597","4597","6907","6907","6907","6907","5783","5783","5783","5783","6002","6002","6002","6002","10000","10000","10000","10000","4101","4101","4101","4101","10000","10000","10000","10000","4706","4706","4706","4706","10000","10000","10000","10000","2751","2751","2751","2751","2155","2155","2155","2155","7773","7773","7773","7773","8487","8487","8487","8487","10000","10000","10000","10000","2401","2401","2401","2401","4496","4496","4496","4496","2552","2552","2552","2552","10000","10000","10000","10000","1995","1995","1995","1995","9362","9362","9362","9362","10000","10000","10000","10000","5095","5095","5095","5095"

"[final value]","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks"
,"5702","0","0.10405827263267431","5702","5706","0","0.31217481789802287","5706","7597","0","0.6243496357960457","7597","5486","0","1.768990634755463","5486","3022","0","8.74089490114464","3022","2880","0","5.6191467221644125","2880","6143","0","4.37044745057232","6143","10000","1","1.45681581685744","10000","1473","0","5.931321540062435","1473","2779","0","5.30697190426639","2779","10000","1","8.116545265348595","10000","5064","0","10.926118626430801","5064","2974","0","30.59313215400624","2974","2395","0","10.718002081165452","2395","1547","0","20.08324661810614","1547","5045","0","7.075962539021852","5045","2998","0","11.758584807492195","2998","249","0","30.17689906347555","249","3611","0","22.47658688865765","3611","10000","1","11.238293444328825","10000","6646","0","31.42559833506764","6646","1429","0","52.54942767950052","1429","2916","0","14.04786680541103","2916","4486","0","7.1800208116545265","4486","6958","0","11.758584807492195","6958","3817","0","31.42559833506764","3817","10000","2","13.527575442247658","10000","10000","1","29.136316337148806","10000","7556","0","17.16961498439126","7556","4649","0","49.21956295525494","4649","5493","0","1.8730489073881373","5493","7900","0","2.705515088449532","7900","7542","0","0.8324661810613945","7542","5227","0","2.6014568158168574","5227","10000","2","0.41623309053069724","10000","4005","0","3.954214360041623","4005","4036","0","3.329864724245578","4036","1709","10","0","1709","4597","0","1.9771071800208115","4597","6907","0","0.41623309053069724","6907","5783","0","2.3933402705515086","5783","6002","0","6.243496357960457","6002","10000","2","1.45681581685744","10000","4101","0","9.989594172736732","4101","10000","3","16.75338189386056","10000","4706","0","6.555671175858481","4706","10000","1","4.786680541103017","10000","2751","0","6.451612903225806","2751","2155","8","0","2155","7773","0","17.273673257023933","7773","8487","0","14.25598335067638","8487","10000","1","4.37044745057232","10000","2401","0","15.400624349635796","2401","4496","0","6.035379812695109","4496","2552","0","36.420395421436005","2552","10000","2","21.644120707596255","10000","1995","0","14.360041623309053","1995","9362","0","27.055150884495315","9362","10000","2","36.73257023933403","10000","5095","0","7.492195629552549","5095"
