"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"IIA_TP1_Modelo_Base.nlogo"
"Energia Inicial"
"10/21/2024 02:36:21:298 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36","37","37","37","37","38","38","38","38","39","39","39","39","40","40","40","40","41","41","41","41","42","42","42","42","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","46","47","47","47","47","48","48","48","48","49","49","49","49","50","50","50","50","51","51","51","51","52","52","52","52","53","53","53","53","54","54","54","54","55","55","55","55","56","56","56","56","57","57","57","57","58","58","58","58","59","59","59","59","60","60","60","60"
"n_agentes","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"energiaMax","50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"50",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"100",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,,"150",,,
"[total steps]","10000","10000","10000","10000","8618","8618","8618","8618","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","70","70","70","70","9686","9686","9686","9686","10000","10000","10000","10000","4514","4514","4514","4514","10000","10000","10000","10000","7888","7888","7888","7888","6753","6753","6753","6753","5568","5568","5568","5568","10000","10000","10000","10000","1015","1015","1015","1015","2736","2736","2736","2736","6227","6227","6227","6227","7586","7586","7586","7586","4963","4963","4963","4963","6961","6961","6961","6961","3137","3137","3137","3137","3087","3087","3087","3087","10000","10000","10000","10000","10000","10000","10000","10000","1581","1581","1581","1581","4412","4412","4412","4412","3571","3571","3571","3571","2110","2110","2110","2110","4450","4450","4450","4450","8887","8887","8887","8887","10000","10000","10000","10000","5008","5008","5008","5008","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","6513","6513","6513","6513","8422","8422","8422","8422","10000","10000","10000","10000","2133","2133","2133","2133","2844","2844","2844","2844","3094","3094","3094","3094","4620","4620","4620","4620","3522","3522","3522","3522","10000","10000","10000","10000","2368","2368","2368","2368","2527","2527","2527","2527","4017","4017","4017","4017","2858","2858","2858","2858","2133","2133","2133","2133","4540","4540","4540","4540","6995","6995","6995","6995","10000","10000","10000","10000","4032","4032","4032","4032","10000","10000","10000","10000","6127","6127","6127","6127"

"[final value]","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks"
,"10000","1","12.79916753381894","10000","8618","0","32.67429760665973","8618","10000","1","34.85952133194589","10000","10000","4","1.664932362122789","10000","10000","5","13.319458896982312","10000","70","0","33.818938605619145","70","9686","0","17.585848074921955","9686","10000","5","2.18522372528616","10000","4514","0","33.714880332986475","4514","10000","6","15.71279916753382","10000","7888","0","12.382934443288242","7888","6753","0","1.5608740894901143","6753","5568","0","17.68990634755463","5568","10000","1","0.31217481789802287","10000","1015","0","29.03225806451613","1015","2736","0","34.85952133194589","2736","6227","0","1.9771071800208115","6227","7586","0","14.880332986472425","7586","4963","0","12.486992715920914","4963","6961","0","16.96149843912591","6961","3137","0","12.903225806451612","3137","3087","0","13.631633714880333","3087","10000","2","0.10405827263267431","10000","10000","1","0.10405827263267431","10000","1581","0","21.331945889698233","1581","4412","0","2.18522372528616","4412","3571","4","0","3571","2110","0","27.263267429760667","2110","4450","0","7.492195629552549","4450","8887","0","4.474505723204994","8887","10000","6","6.347554630593131","10000","5008","0","12.486992715920914","5008","10000","3","17.793964620187307","10000","10000","7","16.857440166493237","10000","10000","7","26.43080124869927","10000","10000","6","7.075962539021852","10000","10000","5","6.867845993756504","10000","10000","7","17.273673257023933","10000","10000","4","2.91363163371488","10000","10000","2","4.786680541103017","10000","6513","0","2.705515088449532","6513","8422","0","10.822060353798127","8422","10000","1","10.301768990634756","10000","2133","7","0","2133","2844","0","17.48178980228928","2844","3094","0","20.395421436004163","3094","4620","0","2.081165452653486","4620","3522","0","2.497398543184183","3522","10000","2","1.040582726326743","10000","2368","0","24.765868886576484","2368","2527","0","11.342351716961499","2527","4017","0","1.2486992715920915","4017","2858","0","5.6191467221644125","2858","2133","10","0","2133","4540","5","0","4540","6995","0","3.6420395421436007","6995","10000","1","13.319458896982312","10000","4032","0","11.65452653485952","4032","10000","1","1.8730489073881373","10000","6127","0","5.6191467221644125","6127"
