"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"IIA_TP1_Modelo_Base.nlogo"
"Capacidade"
"10/21/2024 02:36:08:783 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36","37","37","37","37","38","38","38","38","39","39","39","39","40","40","40","40","41","41","41","41","42","42","42","42","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","46","47","47","47","47","48","48","48","48","49","49","49","49","50","50","50","50","51","51","51","51","52","52","52","52","53","53","53","53","54","54","54","54","55","55","55","55","56","56","56","56","57","57","57","57","58","58","58","58","59","59","59","59","60","60","60","60"
"n_agentes","10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"capMax","5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"5",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"10",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,,"20",,,
"[total steps]","3303","3303","3303","3303","10000","10000","10000","10000","8848","8848","8848","8848","3930","3930","3930","3930","10000","10000","10000","10000","4557","4557","4557","4557","6173","6173","6173","6173","1867","1867","1867","1867","5144","5144","5144","5144","2374","2374","2374","2374","3191","3191","3191","3191","4531","4531","4531","4531","932","932","932","932","6745","6745","6745","6745","2068","2068","2068","2068","5220","5220","5220","5220","1442","1442","1442","1442","3757","3757","3757","3757","6624","6624","6624","6624","5708","5708","5708","5708","3911","3911","3911","3911","2895","2895","2895","2895","3189","3189","3189","3189","8654","8654","8654","8654","2125","2125","2125","2125","6209","6209","6209","6209","5000","5000","5000","5000","7015","7015","7015","7015","7664","7664","7664","7664","3129","3129","3129","3129","4698","4698","4698","4698","10000","10000","10000","10000","6960","6960","6960","6960","4279","4279","4279","4279","3182","3182","3182","3182","3783","3783","3783","3783","4574","4574","4574","4574","1512","1512","1512","1512","5596","5596","5596","5596","6512","6512","6512","6512","5229","5229","5229","5229","9675","9675","9675","9675","8423","8423","8423","8423","4235","4235","4235","4235","10000","10000","10000","10000","5493","5493","5493","5493","10000","10000","10000","10000","4422","4422","4422","4422","10000","10000","10000","10000","10000","10000","10000","10000","3885","3885","3885","3885","1786","1786","1786","1786","2692","2692","2692","2692","10000","10000","10000","10000","4377","4377","4377","4377","395","395","395","395","999","999","999","999","3340","3340","3340","3340","5888","5888","5888","5888","4064","4064","4064","4064"

"[final value]","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks","[step]","count turtles","(count patches with [pcolor = red]) / (count patches) * 100","ticks"
,"3303","0","14.25598335067638","3303","10000","2","15.400624349635796","10000","8848","0","5.931321540062435","8848","3930","0","9.261186264308012","3930","10000","1","19.562955254942768","10000","4557","0","9.261186264308012","4557","6173","0","14.984391259105099","6173","1867","0","27.78355879292404","1867","5144","0","7.804370447450572","5144","2374","0","17.273673257023933","2374","3191","0","23.30905306971904","3191","4531","0","0.5202913631633715","4531","932","0","24.97398543184183","932","6745","2","0","6745","2068","0","21.436004162330903","2068","5220","0","0.5202913631633715","5220","1442","0","27.471383975026015","1442","3757","0","4.266389177939646","3757","6624","0","6.243496357960457","6624","5708","0","5.515088449531738","5708","3911","0","8.012486992715921","3911","2895","0","7.596253902185223","2895","3189","0","9.261186264308012","3189","8654","0","0.9365244536940687","8654","2125","6","0","2125","6209","0","3.1217481789802286","6209","5000","0","2.497398543184183","5000","7015","0","1.2486992715920915","7015","7664","0","0.72840790842872","7664","3129","0","15.920915712799166","3129","4698","0","5.098855359001041","4698","10000","3","0.31217481789802287","10000","6960","0","0.6243496357960457","6960","4279","0","3.7460978147762747","4279","3182","9","0","3182","3783","0","0.6243496357960457","3783","4574","0","2.2892819979188346","4574","1512","0","13.527575442247658","1512","5596","0","2.081165452653486","5596","6512","0","0.20811654526534862","6512","5229","0","6.971904266389179","5229","9675","0","2.3933402705515086","9675","8423","0","0.31217481789802287","8423","4235","0","4.682622268470343","4235","10000","3","6.555671175858481","10000","5493","0","3.225806451612903","5493","10000","1","0.9365244536940687","10000","4422","0","0.10405827263267431","4422","10000","1","0.31217481789802287","10000","10000","1","2.6014568158168574","10000","3885","0","1.2486992715920915","3885","1786","3","0","1786","2692","0","0.20811654526534862","2692","10000","1","0.41623309053069724","10000","4377","0","0.8324661810613945","4377","395","14","0","395","999","12","0","999","3340","4","0","3340","5888","0","0.72840790842872","5888","4064","0","0.20811654526534862","4064"
